Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
cherish ballrooms at imperial club of india,"banquet halls, marriage garden / lawns",5.0,4,3000.0,20,80,650,ncr,4
lado rani banquet,"banquet halls, 3 star hotels with banquets",5.0,2,1000.0,35,125,600,ncr,4
"fortune park orange, sidhrawali, gurugram - itc's hotel group","4 star & above wedding hotels, banquet halls",5.0,4,2500.0,96,200,1000,ncr,4
spara boutique resort,"banquet halls, marriage garden / lawns",4.8,2,4000.0,39,200,1200,ncr,4
21 century event space,marriage garden / lawns,5.0,5,850.0,2,300,600,chennai,3
aiyavoo mahal,banquet halls,4.9,5,415.0,8,200,700,chennai,4
"intercontinental chennai mahabalipuram resort, an ihg hotel","4 star & above wedding hotels, banquet halls",5.0,2,2500.0,100,30,800,chennai,4
midnight sun banquet space,"banquet halls, marriage garden / lawns",4.9,5,50000.0,21,50,150,chennai,3
crystal24 banquet hall,banquet halls,5.0,2,777.0,4,500,800,pune,4
sky blue banquets & lawn,"banquet halls, marriage garden / lawns",5.0,1,699.0,8,50,800,pune,4
gharkul lawns,"banquet halls, marriage garden / lawns",5.0,2,850.0,6,600,1500,pune,4
regenta central grand exotica pune,"4 star & above wedding hotels, banquet halls",4.5,3,999.0,72,48,350,pune,3
"fort jadhavgadh, pune","4 star & above wedding hotels, banquet halls",5.0,1,2899.0,58,100,900,pune,4
hotel v square restaurant banquet & lawn,"banquet halls, marriage garden / lawns",5.0,4,700.0,50,60,1800,lucknow,4
hotel amanda,"banquet halls, 3 star hotels with banquets",4.8,3,799.0,20,25,300,lucknow,4
shyama sarovar portico,"banquet halls, marriage garden / lawns",5.0,3,1600.0,72,20,1600,lucknow,4
four points by sheraton,"4 star & above wedding hotels, banquet halls",4.5,1,1400.0,114,40,200,jaipur,3
"taj devi ratn resort & spa, jaipur","4 star & above wedding hotels, banquet halls",5.0,5,4500.0,145,50,800,jaipur,4
"taj amer, jaipur","4 star & above wedding hotels, banquet halls",5.0,2,5000.0,245,400,1000,jaipur,3
club mahindra resort - jaipur - rajasthan,"4 star & above wedding hotels, banquet halls",5.0,1,1300.0,72,50,200,jaipur,4
stardom resort jaipur,"4 star & above wedding hotels, banquet halls",5.0,3,2000.0,21,200,500,jaipur,3
sasa green,"marriage garden / lawns, 3 star hotels with banquets",5.0,5,1200.0,2,100,1700,ncr,4
chhavi hotels & banquet hall,"banquet halls, marriage garden / lawns",5.0,5,1200.0,139,40,300,ncr,4
the royal casa,"banquet halls, marriage garden / lawns",5.0,3,1500.0,3,300,2000,ncr,3
mora farm,"marriage garden / lawns, party restaurants / lounge bars",5.0,2,2000.0,5,200,600,ncr,4
kanerbaag,"banquet halls, marriage garden / lawns",5.0,1,1199.0,6,400,500,ncr,4
moon cloud banquet,"banquet halls, marriage garden / lawns",5.0,2,1200.0,4,100,900,ncr,3
the event palace,"banquet halls, 3 star hotels with banquets",5.0,5,1000.0,45,50,1200,ncr,4
"holiday inn gurgaon nh8, an ihg hotel","4 star & above wedding hotels, banquet halls",5.0,1,2999.0,137,30,500,ncr,4
nagasaran gardens,"marriage garden / lawns, wedding farmhouses",5.0,1,650.0,2,400,600,chennai,3
madharas banquet hall t.nagar,"banquet halls, venues with rooms",5.0,1,560.0,4,500,550,chennai,4
ruckmani ramjee convention halls,"banquet halls, convention / function halls",5.0,1,800.0,4,400,600,chennai,4
kanthimathi kalyana mandapam,"banquet halls, kalyana mandapams",5.0,2,350.0,21,400,600,chennai,2
fortel hotel,"banquet halls, 3 star hotels with banquets",5.0,2,750.0,82,40,250,chennai,3
sri vedantha desika hall,banquet halls,5.0,1,300.0,21,150,250,chennai,2
sri varalakshmi mahal,banquet halls,5.0,1,300.0,21,600,900,chennai,2
"ramada plaza by wyndham, chennai","4 star & above wedding hotels, banquet halls",4.8,3,1600.0,134,300,500,chennai,3
arasan mahal,banquet halls,5.0,1,40000.0,21,120,150,chennai,3
vel vignesh mahal,banquet halls,5.0,1,300.0,21,250,350,chennai,2
hotel palmgrove,"banquet halls, 3 star hotels with banquets",5.0,3,300.0,89,300,500,chennai,3
"lemon tree premier, city center, pune","3 star hotels with banquets, destination wedding venues",5.0,1,800.0,80,80,100,pune,3
the poona club,"banquet halls, marriage garden / lawns",5.0,1,500.0,18,70,1200,pune,3
prashant banquet hall,banquet halls,5.0,1,275.0,21,225,350,pune,2
hyatt pune,"4 star & above wedding hotels, banquet halls",4.5,5,2000.0,209,150,250,pune,3
shree sidhhi lawns,marriage garden / lawns,4.5,1,100000.0,21,200,500,pune,2
golden field resort,"banquet halls, 3 star hotels with banquets",5.0,4,1450.0,30,50,1000,pune,3
hotel ambience excellency,"banquet halls, 3 star hotels with banquets",4.5,1,600.0,21,200,500,pune,2
"digambar hall and lawn, kothrud","banquet halls, marriage garden / lawns",4.5,1,400.0,21,250,700,pune,2
crowne plaza pune city centre,"4 star & above wedding hotels, banquet halls",5.0,2,1200.0,21,200,500,pune,2
punyaee sabhagruha,"banquet halls, convention / function halls",5.0,1,350.0,21,200,750,pune,2
lake view resort,"banquet halls, marriage garden / lawns",5.0,1,600.0,21,600,600,pune,2
"jarande lawns, kondhwa","banquet halls, marriage garden / lawns",5.0,1,750.0,21,200,500,pune,1
"aher garden mangal karyalaya, chinchwad","marriage garden / lawns, convention / function halls",4.5,2,400.0,21,600,900,pune,2
"kalyan mandap, vikas nagar",marriage garden / lawns,5.0,1,500.0,21,380,600,lucknow,2
parinay marriage lawn,"banquet halls, marriage garden / lawns",5.0,1,600.0,21,200,700,lucknow,2
"jc guesthouse, lucknow","banquet halls, marriage garden / lawns",5.0,1,500.0,21,200,500,lucknow,2
g s lawn,"banquet halls, marriage garden / lawns",5.0,4,900.0,21,45,500,lucknow,2
buddha resort,marriage garden / lawns,5.0,1,500.0,21,120,200,lucknow,2
shagun vatika lawn,"banquet halls, convention / function halls",4.5,1,500.0,21,400,500,lucknow,2
hotel the golden apple,"banquet halls, 3 star hotels with banquets",5.0,2,1300.0,33,70,400,lucknow,3
hotel starfield,"4 star & above wedding hotels, banquet halls",5.0,1,250000.0,10,250,500,lucknow,4
le delicacy,"banquet halls, venues with rooms",5.0,1,600.0,20,600,600,lucknow,3
the hinga marriage lawn & resort,"banquet halls, marriage garden / lawns",5.0,2,1000.0,11,200,1500,lucknow,3
favour banquet,"banquet halls, venues with rooms",5.0,1,700.0,3,200,350,lucknow,3
rajwada lawns,"banquet halls, marriage garden / lawns",5.0,4,800.0,21,125,1500,lucknow,2
scorpio club,"banquet halls, marriage garden / lawns",4.8,4,1399.0,82,50,1200,lucknow,4
"swarn mahal, the banquet","banquet halls, marriage garden / lawns",5.0,4,1500.0,40,30,500,jaipur,3
samskara resort & spa,"4 star & above wedding hotels, banquet halls",5.0,2,1500.0,50,75,800,jaipur,3
renest jaipur lawn,"banquet halls, 3 star hotels with banquets",5.0,1,900.0,80,40,300,jaipur,4
hotel maharaja palace,"marriage garden / lawns, 3 star hotels with banquets",5.0,5,2000.0,21,100,150,jaipur,4
chokhi dhani resort,"4 star & above wedding hotels, banquet halls",5.0,2,2500.0,21,200,500,jaipur,2
doubletree by hilton jaipur amer,"banquet halls, marriage garden / lawns",5.0,1,3000.0,151,30,1500,jaipur,3
diggi palace – a heritage hotel,"4 star & above wedding hotels, banquet halls",5.0,3,2000.0,75,120,1200,jaipur,4
kothi lohagarh,"banquet halls, marriage garden / lawns",5.0,1,150000.0,15,50,400,jaipur,4
hotel anju shree inn,"banquet halls, 3 star hotels with banquets",5.0,4,700.0,20,200,250,jaipur,3
rudra vilas,"banquet halls, marriage garden / lawns",4.8,2,1000.0,45,140,700,jaipur,4
castle kalwar,"banquet halls, marriage garden / lawns",4.7,3,1200.0,25,30,300,jaipur,4
the sparkle farm house,"banquet halls, 3 star hotels with banquets",5.0,3,700.0,20,500,800,jaipur,4
eternal oasis,"banquet halls, marriage garden / lawns",5.0,4,2300.0,30,50,500,ncr,3
botanix nature resort,"banquet halls, marriage garden / lawns",5.0,5,2700.0,40,600,1000,ncr,4
the roman palace banquet (veg only),"banquet halls, small function / party halls",5.0,4,1350.0,21,75,900,ncr,2
ganeshwaram restaurant & banquet sec-104,"banquet halls, 3 star hotels with banquets",5.0,1,1100.0,21,90,150,ncr,2
ganeshwaram restaurant and banquet,"banquet halls, 3 star hotels with banquets",5.0,1,1100.0,30,70,100,ncr,3
the grand taj banquet & conventions,"banquet halls, small function / party halls",5.0,2,2100.0,2,400,600,ncr,3
kaara - gurgaon,"banquet halls, marriage garden / lawns",5.0,2,1300.0,30,150,200,ncr,3
"welcomhotel by itc hotels, gst road, chennai","4 star & above wedding hotels, banquet halls",5.0,5,1500.0,171,100,600,chennai,4
the vijay park alandur,"banquet halls, 3 star hotels with banquets",5.0,1,650.0,87,200,300,chennai,3
swathi mahal,banquet halls,5.0,1,200.0,21,250,300,chennai,2
thangam maligai,banquet halls,5.0,1,400.0,21,800,1200,chennai,2
surabhi palace wedding hall,banquet halls,5.0,1,500.0,21,600,900,chennai,2
friends park ammachi party hall & restaurant,"banquet halls, marriage garden / lawns",5.0,1,250.0,21,250,450,chennai,2
kammavar kalyana mahal,"banquet halls, kalyana mandapams",5.0,1,350.0,21,500,750,chennai,2
kay-em spectra hotel,"banquet halls, 3 star hotels with banquets",4.5,1,1450.0,84,500,900,chennai,3
sigaram celebrations the banquet hall,banquet halls,5.0,1,1500.0,21,300,500,chennai,1
kvn kalyana mandapam,"banquet halls, kalyana mandapams",5.0,1,350.0,14,700,1050,chennai,3
pr palace wedding hall & convention centre,banquet halls,4.5,2,499.0,21,90,1100,chennai,2
utsava halls,banquet halls,5.0,2,350.0,21,250,400,chennai,2
dhanalakshmi mahal,"banquet halls, kalyana mandapams",5.0,1,450.0,21,200,500,chennai,1
soundrapandian kalyana mandapam,"banquet halls, venues with rooms",5.0,1,250000.0,8,450,600,chennai,4
hotel halez,"banquet halls, 3 star hotels with banquets",5.0,4,1100.0,109,50,500,chennai,3
avm garden villa,"banquet halls, marriage garden / lawns",5.0,4,125000.0,21,120,800,chennai,3
"sorina hillside resort, sinhagad road","banquet halls, marriage garden / lawns",5.0,4,1050.0,120,100,1000,pune,3
istana,"banquet halls, 3 star hotels with banquets",5.0,1,1700.0,209,220,400,pune,3
"g l apte sabhagruha, deccan gymkhana, pune","banquet halls, convention / function halls",5.0,1,350.0,21,400,600,pune,2
sayaji,"4 star & above wedding hotels, 3 star hotels with banquets",5.0,5,700.0,21,700,800,pune,2
ganesh mangal karyalaya,banquet halls,5.0,1,50000.0,21,130,160,pune,3
avanti kalagram,"marriage garden / lawns, destination wedding venues",5.0,2,550.0,50,50,150,pune,3
"citrus , lonavala","banquet halls, marriage garden / lawns",5.0,1,900.0,35,150,200,pune,3
"treasure island resorts, lonavala","banquet halls, wedding resorts",5.0,1,2000.0,97,150,600,pune,3
sanvi resort,wedding resorts,5.0,1,300.0,14,45,500,pune,3
"haveli resort, kanpur road","banquet halls, marriage garden / lawns",5.0,1,100000.0,21,200,500,lucknow,2
shimla resort lucknow,"banquet halls, marriage garden / lawns",4.7,5,1100.0,25,500,2000,lucknow,3
surestay by best western,"4 star & above wedding hotels, banquet halls",5.0,0,1100.0,30,150,250,lucknow,3
"the central hotel, lucknow","banquet halls, 3 star hotels with banquets",5.0,1,525.0,35,50,400,lucknow,3
madhurima hotel,"banquet halls, 3 star hotels with banquets",5.0,1,850.0,21,200,500,lucknow,2
hotel syona residency,"banquet halls, 3 star hotels with banquets",5.0,1,850.0,65,300,500,lucknow,3
royal casa hotels and banquet,banquet halls,5.0,1,700.0,6,200,300,lucknow,3
geet paradise lawn,marriage garden / lawns,5.0,3,120000.0,2,700,1500,lucknow,4
shyam shanti guest house,banquet halls,5.0,0,680.0,21,200,500,lucknow,2
hotel millenia regency,"4 star & above wedding hotels, banquet halls",5.0,2,1000.0,60,90,200,lucknow,3
smriti banquet hall,"banquet halls, convention / function halls",5.0,1,800.0,7,50,600,lucknow,3
vaidik garden,"banquet halls, marriage garden / lawns",5.0,1,500.0,21,500,700,lucknow,2
hotel arif castles,"banquet halls, marriage garden / lawns",5.0,1,1250.0,21,200,500,lucknow,2
vivanta by taj lucknow,"4 star & above wedding hotels, banquet halls",5.0,2,1300.0,66,400,600,lucknow,3
hotel venus palace & lawn,"banquet halls, marriage garden / lawns",5.0,0,110000.0,8,450,500,lucknow,4
utopian luxe hotel,"banquet halls, 3 star hotels with banquets",5.0,1,1600.0,61,70,450,lucknow,3
hilton jaipur,"4 star & above wedding hotels, banquet halls",5.0,3,1500.0,21,200,500,jaipur,2
bhatia bhawan,"banquet halls, marriage garden / lawns",5.0,1,500.0,24,500,1600,jaipur,3
utsav grand banquet and lawns,"banquet halls, marriage garden / lawns",5.0,2,650.0,21,350,2000,jaipur,3
the oberoi rajvilas,"4 star & above wedding hotels, banquet halls",5.0,2,3000.0,71,70,150,jaipur,3
"sarovar premiere, jaipur","4 star & above wedding hotels, banquet halls",5.0,1,900.0,21,200,500,jaipur,2
maan palace,marriage garden / lawns,5.0,3,600000.0,21,800,1000,jaipur,3
leisure inn grand chanakya,"4 star & above wedding hotels, banquet halls",4.8,5,850.0,52,12,350,jaipur,3
hill side resort,"banquet halls, marriage garden / lawns",4.8,2,1000.0,21,200,500,jaipur,2
mannat marriage garden & banquet hall,"banquet halls, marriage garden / lawns",5.0,1,800.0,21,200,2000,jaipur,2
the mayfair grand,"banquet halls, venues with rooms",5.0,3,2800.0,7,100,1000,ncr,3
kantam farmhouse,"banquet halls, marriage garden / lawns",4.6,4,1000.0,6,100,500,ncr,3
vardaan grand,"4 star & above wedding hotels, banquet halls",5.0,5,2300.0,2,20,1000,ncr,3
"casabella banquet, infocity",banquet halls,5.0,5,1650.0,21,120,200,ncr,2
ganeshwaram restaurant & banquet 141,"banquet halls, 3 star hotels with banquets",5.0,1,1100.0,30,90,150,ncr,3
ganeshwaram restaurant & banquet 149,"banquet halls, 3 star hotels with banquets",5.0,1,2000.0,75,700,1000,ncr,4
flora green banquet,"banquet halls, marriage garden / lawns",5.0,1,1699.0,6,20,1000,ncr,4
